year,bb_score,ww_box_office,production_budget,bb_profit
2019,72.044011686,1323194681.8,198200000.0,1124994681.8
2010,64.01974908833334,869317583.1666666,153833333.33333334,715484249.8333334
2014,61.32364506666667,695557871.6666666,117666666.66666667,577891205.0
2018,72.0118644,1313354076.5,190000000.0,1123354076.5
2009,69.819936736,1195891181.4,184400000.0,1011491181.4
2015,74.01423576666666,1446376483.6666667,220833333.33333334,1225543150.3333333
2016,65.17479504333333,946208673.7777778,171777777.7777778,774430896.0
2017,65.912562695,960832150.0,148750000.0,812082150.0
2013,66.503588352,998444569.2,156200000.0,842244569.2
1982,65.33222785,792965326.0,10500000.0,782465326.0
2003,65.56585514333334,903721601.0,109333333.33333333,794388267.6666666
1994,65.007174875,833026564.0,67150000.0,765876564.0
2011,71.02016412500001,1232743618.0,160000000.0,1072743618.0
2005,63.20451191666666,822212747.6666666,148333333.33333334,673879414.3333334
2007,62.924555834,863392128.0,203800000.0,659592128.0
2001,65.95267604,931129295.5,117000000.0,814129295.5
1996,64.54717422,817400878.0,75000000.0,742400878.0
2008,61.883027653333336,791772084.3333334,185333333.33333334,606438751.0
1993,69.25436204,1045627627.0,63000000.0,982627627.0
2006,66.48343009,1066215812.0,225000000.0,841215812.0
2004,63.44085922333334,784274502.3333334,98333333.33333333,685941169.0
2012,66.87511608,1039738458.6666666,178533333.33333334,861205125.3333334
2002,63.44201356333334,802000079.6666666,116000000.0,686000079.6666666
1999,65.13549947,849925484.5,77500000.0,772425484.5
1977,64.97820289,775398007.0,11000000.0,764398007.0
1980,60.28664672,547969004.0,23000000.0,524969004.0
1983,58.6727661,475106177.0,32500000.0,442606177.0
1997,89.35038098,2208208395.0,200000000.0,2008208395.0
